latitude,longitude,date,died,injured,weather,day_part,accident_type
41.2935,69.3365,2020-04-27 15:30:00,0,1,,kunduz,piyodani urib yuborish
41.2469,69.3225,2020-04-28 20:10:00,0,2,,kech,turgan TVga urilish
41.3512,69.2879,2020-04-30 15:30:00,0,2,,kunduz,to'qnashuv
41.2161,69.2351,2020-04-30 23:00:00,0,1,,kech,to'siqqa urilish
41.2286,69.2031,2020-04-30 23:45:00,0,2,,kech,to'qnashuv
41.3378,69.2226,2020-05-01 21:00:00,0,1,,kech,piyodani urib yuborish
41.3484,69.2407,2020-05-02 15:08:00,1,0,,kunduz,piyodani urib yuborish
41.2375,69.3205,2020-05-04 21:40:00,0,1,,kech,piyodani urib yuborish
41.3924,69.2696,2020-05-04 22:30:00,0,1,,kech,piyodani urib yuborish
41.2869,69.3375,2020-05-06 10:30:00,0,1,,tong,velosipedchini urib yuborish
41.2988,69.2732,2020-05-07 22:55:00,0,1,,kech,velosipedchini urib yuborish
41.2682,69.2666,2020-05-10 23:55:00,1,0,,kech,to'qnashuv
41.3414,69.2322,2020-05-15 23:00:00,0,1,,kech,to'siqqa urilish
41.2932,69.2241,2020-05-20 18:00:00,0,1,,kunduz,piyodani urib yuborish
41.2433,69.2175,2020-05-20 16:00:00,0,1,,kunduz,to'siqqa urilish
41.2511,69.3016,2020-05-20 12:50:00,0,1,,tong,piyodani urib yuborish
41.3512,69.2879,2020-05-20 17:00:00,0,1,,kunduz,to'qnashuv
41.2444,69.3008,2020-05-20 00:05:00,1,0,,,piyodani urib yuborish
41.2748,69.1912,2020-05-21 00:55:00,0,1,,,piyodani urib yuborish
41.2909,69.3355,2020-05-21 21:00:00,0,1,,kech,piyodani urib yuborish
41.3241,69.1612,2020-05-21 12:30:00,0,3,,tong,to'qnashuv
41.2666,69.3431,2020-05-23 15:15:00,1,0,,kunduz,to'qnashuv
41.2666,69.3431,2020-05-23 19:30:00,0,1,,kech,piyodani urib yuborish
41.3043,69.165,2020-05-24 20:30:00,0,1,,kech,piyodani urib yuborish
41.3713,69.3069,2020-05-25 20:30:00,0,1,,kech,piyodani urib yuborish
41.2444,69.2564,2020-05-26 20:46:00,0,3,,kech,to'qnashuv
41.2378,69.3313,2020-05-28 17:30:00,0,1,,kunduz,piyodani urib yuborish
41.3392,69.2076,2020-05-29 20:45:00,0,1,,kech,to'qnashuv
41.2855,69.2534,2020-05-31 10:30:00,0,1,,tong,piyodani urib yuborish
41.3512,69.2879,2020-05-31 15:30:00,0,2,,kunduz,to'qnashuv
41.2759,69.2937,2020-05-31 12:10:00,0,1,,tong,piyodani urib yuborish
41.2921,69.2232,2020-05-31 18:30:00,0,1,,kunduz,to'qnashuv
41.2861,69.3602,2020-06-04 00:25:00,0,1,,,piyodani urib yuborish
41.3512,69.2877,2020-06-05 10:10:00,0,1,,tong,piyodani urib yuborish
41.258,69.3192,2020-06-05 21:30:00,0,1,,kech,piyodani urib yuborish
41.3074,69.3016,2020-06-06 00:50:00,1,2,,,to'siqqa urilish
41.3035,69.1517,2020-06-06 20:04:00,0,1,,kech,to'qnashuv
41.3424,69.1773,2020-06-06 19:00:00,0,1,,kech,to'qnashuv
41.2904,69.1498,2020-06-06 15:15:00,0,1,,kunduz,to'qnashuv
41.2375,69.329,2020-06-07 03:05:00,1,0,,tun,piyodani urib yuborish
41.3301,69.3137,2020-06-09 10:09:00,0,2,,tong,turgan TVga urilish
41.3052,69.2656,2020-06-10 10:20:00,0,2,,tong,to'qnashuv
41.2741,69.293,2020-06-10 15:30:00,0,1,,kunduz,to'qnashuv
41.299,69.3428,2020-06-11 13:00:00,0,1,,kunduz,velosipedchini urib yuborish
41.3351,69.2789,2020-06-11 23:50:00,0,1,,kech,piyodani urib yuborish
41.2657,69.1607,2020-06-16 16:00:00,0,1,,kunduz,piyodani urib yuborish
41.3332,69.2839,2020-06-17 16:00:00,0,1,,kunduz,piyodani urib yuborish
41.3924,69.2551,2020-06-17 04:00:00,0,1,,tun,to'siqqa urilish
41.3157,69.3159,2020-06-18 11:30:00,0,1,,tong,piyodani urib yuborish
41.3481,69.2521,2020-06-18 19:30:00,0,1,,kech,piyodani urib yuborish
41.3353,69.1643,2020-06-18 06:00:00,2,0,,tun,YTHning boshqa turlari
41.3753,69.2973,2020-06-19 20:00:00,0,2,,kech,piyodani urib yuborish
41.3386,69.1952,2020-06-19 12:30:00,0,1,,tong,piyodani urib yuborish
41.3087,69.1657,2020-06-20 23:20:00,0,1,,kech,to'qnashuv
41.361,69.2098,2020-06-20 21:20:00,0,1,,kech,YTHning boshqa turlari
41.2851,69.1489,2020-06-23 11:05:00,1,0,,tong,piyodani urib yuborish
41.3359,69.1763,2020-06-23 18:00:00,0,1,,kunduz,piyodani urib yuborish
41.3347,69.3088,2020-06-26 05:15:00,1,0,,tun,to'qnashuv
41.331,69.2215,2020-06-26 22:15:00,0,1,,kech,piyodani urib yuborish
41.3449,69.2376,2020-06-27 22:40:00,0,1,,kech,piyodani urib yuborish
41.3298,69.259,2020-06-28 21:11:00,1,0,,kech,piyodani urib yuborish
41.2744,69.2046,2020-06-29 15:00:00,0,1,,kunduz,piyodani urib yuborish
41.2928,69.2797,2020-06-30 18:10:00,0,3,,kunduz,to'qnashuv
41.3058,69.2776,2020-06-30 13:00:00,0,2,,kunduz,piyodani urib yuborish
41.2026,69.2144,2020-06-30 19:35:00,0,1,,kech,to'qnashuv
41.3384,69.2251,2020-06-30 12:30:00,0,1,,tong,ag'darilish
41.3579,69.237,2020-06-30 13:30:00,0,1,,kunduz,piyodani urib yuborish
41.3113,69.153,2020-07-01 12:30:00,0,1,,tong,piyodani urib yuborish
41.3271,69.3358,2020-07-01 20:20:00,0,1,,kech,to'qnashuv
41.2818,69.1805,2020-07-01 23:30:00,0,1,,kech,piyodani urib yuborish
41.3362,69.3542,2020-07-01 09:30:00,0,1,,tong,to'qnashuv
41.3389,69.1752,2020-07-02 23:00:00,0,1,,kech,piyodani urib yuborish
41.3209,69.1689,2020-07-02 12:25:00,1,0,,tong,piyodani urib yuborish
41.3523,69.35,2020-07-03 23:06:00,0,1,,kech,piyodani urib yuborish
41.2416,69.3284,2020-07-04 21:00:00,0,2,,kech,velosipedchini urib yuborish
41.3388,69.2257,2020-07-05 10:00:00,0,1,,tong,to'qnashuv
41.274,69.1875,2020-07-06 09:00:00,0,1,,tong,piyodani urib yuborish
41.285,69.1761,2020-07-06 18:30:00,0,1,,kunduz,piyodani urib yuborish
41.2411,69.1668,2020-07-07 09:00:00,1,0,,tong,piyodani urib yuborish
41.2997,69.3471,2020-07-07 01:47:00,1,0,,tun,to'qnashuv
41.2644,69.3169,2020-07-08 12:05:00,0,1,,tong,piyodani urib yuborish
41.3275,69.2342,2020-07-08 06:00:00,0,1,,tun,piyodani urib yuborish
41.2871,69.2066,2020-07-09 20:00:00,0,1,,kech,to'qnashuv
41.3196,69.2689,2020-07-09 08:00:00,0,1,,tong,piyodani urib yuborish
41.2307,69.2055,2020-07-10 11:00:00,0,1,,tong,piyodani urib yuborish
41.3363,69.222,2020-07-10 19:30:00,0,1,,kech,to'siqqa urilish
41.2921,69.2234,2020-07-10 16:15:00,0,1,,kunduz,to'qnashuv
41.2447,69.1659,2020-07-10 15:15:00,0,1,,kunduz,piyodani urib yuborish
41.2133,69.2083,2020-07-10 13:00:00,0,1,,kunduz,to'qnashuv
41.211,69.3341,2020-07-10 09:30:00,0,1,,tong,piyodani urib yuborish
41.3216,69.1932,2020-07-10 09:00:00,0,1,,tong,piyodani urib yuborish
41.2899,69.2683,2020-07-10 00:15:00,0,1,,,piyodani urib yuborish
41.2867,69.2058,2020-07-10 10:25:00,0,1,,tong,piyodani urib yuborish
41.3459,69.3419,2020-07-10 23:00:00,0,3,,kech,to'qnashuv
41.2995,69.2308,2020-07-11 07:30:00,1,0,,tong,to'siqqa urilish
41.2929,69.1584,2020-07-11 16:00:00,0,1,,kunduz,to'qnashuv
41.3693,69.3093,2020-07-12 17:30:00,0,1,,kunduz,piyodani urib yuborish
41.3196,69.3597,2020-07-13 23:30:00,0,1,,kech,to'qnashuv
41.3474,69.3608,2020-07-13 12:10:00,0,1,,tong,piyodani urib yuborish
41.2739,69.2846,2020-07-13 20:30:00,0,1,,kech,to'qnashuv
41.2765,69.1533,2020-07-13 20:15:00,0,1,,kech,to'qnashuv
41.2714,69.3509,2020-07-13 08:30:00,0,1,,tong,YTHning boshqa turlari
41.2609,69.2264,2020-07-14 17:30:00,0,1,,kunduz,to'qnashuv
41.228,69.219,2020-07-14 02:15:00,0,1,,tun,piyodani urib yuborish
41.2923,69.2227,2020-07-15 12:00:00,0,1,,tong,piyodani urib yuborish
41.2837,69.2243,2020-07-15 12:00:00,0,1,,tong,piyodani urib yuborish
41.2728,69.2395,2020-07-15 18:00:00,1,0,,kunduz,piyodani urib yuborish
41.3538,69.2419,2020-07-15 20:00:00,0,1,,kech,to'qnashuv
41.314,69.2863,2020-07-16 20:04:00,0,1,,kech,to'qnashuv
41.2375,69.3291,2020-07-16 11:30:00,0,1,,tong,piyodani urib yuborish
41.3416,69.1651,2020-07-16 17:00:00,0,1,,kunduz,piyodani urib yuborish
41.3344,69.3685,2020-07-16 17:05:00,0,1,,kunduz,piyodani urib yuborish
41.2407,69.216,2020-07-17 22:00:00,0,1,,kech,piyodani urib yuborish
